16.01.2026;;;;;
Артикул;Наименование позиции;Вложение в коробку;Цена без НДС;Цена с НДС;
001;Обувь домашняя мужская  ;24;70 ₽;85 ₽;
001-А;Обувь летняя мужская пляжная, липучка, р.41-45;12;110 ₽;134 ₽;
002;Обувь домашняя женская;24;65 ₽;79 ₽;
003-А;Обувь летняя мужская  пляжная,р.41-45;12;110 ₽;134 ₽;
007;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
008АЗ;Обувь домашняя мужская закрытый нос;40;120 ₽;146 ₽;
008АЗ/1;Обувь домашняя мужская закрытый нос, с кож. Вставкой;40;140 ₽;171 ₽;
008АЗ(ЛМ);Обувь домашняя мужская закрытый нос;60;190 ₽;232 ₽;
008АО;Обувь домашняя мужская открытый нос;40;120 ₽;146 ₽;
008АО (Л);Обувь домашняя мужская, р. 41-45;60;155 ₽;189 ₽;
008АО (ТЭП/лип);Обувь домашняя мужская, р. 41-46;60;240 ₽;293 ₽;
008З;Обувь домашняя мужская закрытый нос;24;105 ₽;128 ₽;
008О;Обувь домашняя мужская открытый нос;24;105 ₽;128 ₽;
009АБО;Обувь домашняя женская (Бантик), открытый нос ;60;165 ₽;201 ₽;
009АЗ;Обувь домашняя женская, закрытый нос ;60;110 ₽;134 ₽;
009АЗ (Л);Обувь домашняя женская, закрытый нос ;60;155 ₽;189 ₽;
009АО;Обувь домашняя женская, открытый нос ;60;110 ₽;134 ₽;
009АО (ТЭП);Обувь домашняя женская, открытый нос ;60;215 ₽;262 ₽;
009АП;Обувь домашняя женская (Пушок), открытый нос ;60;190 ₽;232 ₽;
009З;Обувь домашняя женская, закрытый нос ;24;100 ₽;122 ₽;
009О;Обувь домашняя женская, открытый нос ;24;100 ₽;122 ₽;
018;Обувь детская, Туфли купальные;12;70 ₽;77 ₽;
019;Обувь детская, Туфли купальные;12;80 ₽;88 ₽;
020;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
021;Обувь женская, Туфли купальные;24;70 ₽;85 ₽;
021/1;Обувь женская, Туфли купальные;24;70 ₽;85 ₽;
022;Галоши мужские (сабо с ворсом);12;170 ₽;207 ₽;
022/1;Галоши мужские (сабо) без утеплителя;12;130 ₽;159 ₽;
023;Галоши женские (сабо с ворсом);12;160 ₽;195 ₽;
023/1;Галоши женские (сабо) без утеплителя;12;120 ₽;146 ₽;
024;Обувь детская, Туфли купальные;12;70 ₽;77 ₽;
026;Сапоги детские без утеплителя;12;150 ₽;165 ₽;
027;Сапоги детские с утеплителем;12;220 ₽;242 ₽;
038Н;Сапоги мужские силиконовые утепленные                ;6;390 ₽;476 ₽;
038НМ;Сапоги мужские силиконовые утепленные с манжетом                 ;6;480 ₽;586 ₽;
039н;Сапоги мужские силиконовые утепленные                ;6;370 ₽;451 ₽;
042н;Сапоги мужские силиконовые утепленные                ;6;310 ₽;378 ₽;
042нм;Сапоги мужские силиконовые утепленные с манжетом                 ;6;340 ₽;415 ₽;
043/1;"Галоши садовые 
мужские силиконовые";12;215 ₽;262 ₽;
046/1;Сапоги мужские ПВХ        ;6;260 ₽;317 ₽;
046н;Сапоги мужские ПВХ (утепленные)                  ;6;280 ₽;342 ₽;
046НМ;Сапоги мужские ПВХ утепленные с манжетом             ;6;330 ₽;403 ₽;
048;Сапоги детские с утеплителем;12;140 ₽;154 ₽;
048/1;Сапоги детские без утеплителя;12;100 ₽;110 ₽;
050;Обувь мужская, Туфли купальные;12;80 ₽;98 ₽;
051;Обувь мужская, Туфли купальные;12;65 ₽;79 ₽;
053;Обувь женская, Туфли купальные;12;65 ₽;79 ₽;
061Н;Сапоги женские силиконовые утепленные                  ;12;310 ₽;378 ₽;
061НМ;Сапоги женские силиконовые утепленные с манжетом                ;12;350 ₽;427 ₽;
064Н;Сапоги женские ПВХ  (утепленные)             ;6;240 ₽;293 ₽;
064НМ;Сапоги женские утепленныем с манжетом            ;6;300 ₽;366 ₽;
065н;Сапоги женские ПВХ  (утепленные)             ;6;260 ₽;317 ₽;
065нм;Сапоги женские утепленныем с манжетом            ;6;280 ₽;342 ₽;
066;Сапоги женские, молния, оксфорд;12;300 ₽;366 ₽;
067Ж;Галоши женские (не утепленные);8;100 ₽;122 ₽;
067Ж Люкс;Галоши женские Люкс (не утепленные);8;135 ₽;165 ₽;
067м;"Галоши садовые 
мужские  ";8;100 ₽;122 ₽;
067м Люкс;Галоши садовые Люкс мужские  ;8;135 ₽;165 ₽;
069/1;Галоши женскиесиликоновые ;12;205 ₽;250 ₽;
071;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
072;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
073;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
074;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
075;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
076;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
077;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
080н;Сапоги детские ПВХ (утепленные), р-р 24-29             ;12;210 ₽;231 ₽;
080нм;Сапоги детские ПВХ с манжетом (утепленные), р-р 24-29             ;12;230 ₽;253 ₽;
081н;Самоги детские, силиковновые р-р 24-29;12;280 ₽;308 ₽;
082н;Самоги детские, силиковновые р-р 30-35;12;280 ₽;308 ₽;
082нм;Самоги детские, силиковновые с манжетом р-р 30-35;12;330 ₽;363 ₽;
085н;Сапоги ПВХ подростковые (утепленные)             ;6;260 ₽;317 ₽;
085нм;Сапоги ПВХ подростковые с манжетом (утепленные)             ;6;280 ₽;342 ₽;
086н;Сапоги детские ПВХ (утепленные), р-р 30-35;12;230 ₽;253 ₽;
094;Ботинки женские, замок, оксфорд;12;190 ₽;232 ₽;
099;Сапоги детские, липучка, сукно;12;260 ₽;286 ₽;
100;Сапоги детские, замок, оксфорд;12;210 ₽;231 ₽;
1001;Обувь женская, Туфли купальные;24;70 ₽;85 ₽;
1002;Обувь детская, Туфли купальные;12;70 ₽;84 ₽;
1003;Обувь детская, Туфли купальные;24;70 ₽;77 ₽;
1004;Обувь детская, Туфли купальные;12;80 ₽;88 ₽;
1005;Обувь детская, Туфли купальные мальчик;12;100 ₽;120 ₽;
1006;Обувь детская, Туфли купальные девочка;12;100 ₽;120 ₽;
101;Сапоги детские, замок+опушка, оксфорд;12;210 ₽;231 ₽;
1010;Обувь мужская, Туфли купальные;8;120 ₽;146 ₽;
102;Сапоги детские, кулиса, оксфорд;12;210 ₽;231 ₽;
1020;Обувь женская, Туфли купальные;24;115 ₽;140 ₽;
1021;Обувь женская, Туфли купальные;24;115 ₽;140 ₽;
1022;Обувь женская, Туфли купальные;24;115 ₽;140 ₽;
1023;Обувь женская, Туфли купальные;24;115 ₽;140 ₽;
1024;Обувь мужская, Туфли купальные;8;115 ₽;140 ₽;
1025;Обувь мужская, Туфли купальные;8;115 ₽;140 ₽;
1026;Обувь мужская, Туфли купальные;8;115 ₽;140 ₽;
1027;Обувь женская, Туфли купальные;8;170 ₽;207 ₽;
1028;Обувь женская, Туфли купальные;8;170 ₽;207 ₽;
1029;Обувь женская, Туфли купальные;8;170 ₽;207 ₽;
1030;Обувь мужская, Туфли купальные;8;170 ₽;207 ₽;
103;Сапоги детские, липучка, оксфорд;12;210 ₽;231 ₽;
1031;Обувь мужская, Туфли купальные;12;100 ₽;122 ₽;
1032;Обувь мужская, Туфли купальные;12;100 ₽;122 ₽;
1033;Обувь женская, Туфли купальные (Кроксы);12;152 ₽;185 ₽;
1034;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
1035;Обувь детская, Туфли купальные;12;70 ₽;84 ₽;
1036;Обувь женская, Туфли купальные;12;170 ₽;207 ₽;
1037;Обувь женская, Туфли купальные;8;170 ₽;207 ₽;
1038;Обувь мужская, Туфли купальные;8;185 ₽;226 ₽;
1043;Обувь подростковая, Туфли купальные (Кроксы);12;150 ₽;183 ₽;
1047;Обувь мужская, Туфли купальные;8;185 ₽;226 ₽;
112/1;Сапоги мужские  не утеплённые                    ;8;500 ₽;610 ₽;
112м;Сапоги мужские утеплённые (мех)                 ;8;600 ₽;732 ₽;
112н;Сапоги мужские утеплённые (войлок)                  ;8;550 ₽;671 ₽;
113/1;Сапоги мужские с манжетом (не утепленные)                     ;8;550 ₽;671 ₽;
113м;Сапоги мужские с манжетом   утеплённые (мех)                 ;8;640 ₽;781 ₽;
113н;Сапоги мужские  с манжетом  утеплённые                  ;8;590 ₽;720 ₽;
114;"Тапочки женские ""Жади""";72;160 ₽;195 ₽;
114д;"Тапочки детские ""Жади""";72;70 ₽;77 ₽;
116;"Галоши садовые
мужские
с надставкой утепленные";12;300 ₽;366 ₽;
116М;Галоши мужские с надставкой,  мех;12;300 ₽;366 ₽;
116МН;Галоши мужские с надставкой,  флис;12;280 ₽;342 ₽;
117;Галоши садовые женские с надставкой утепленные;12;250 ₽;305 ₽;
117М ;Галоши женские с надставкой, кулиса, мех;12;215 ₽;262 ₽;
117МН;Галоши женские с надставкой, кулиса, флис;12;195 ₽;238 ₽;
126;Галоши садовые детские без утеплителя;12;85 ₽;94 ₽;
127;Галоши садовые детские с утеплителем;12;120 ₽;132 ₽;
128;Галоши садовые детские с надставкой;12;160 ₽;176 ₽;
129;Галоши детские (сабо) Мальчик с утеплителем;12;140 ₽;154 ₽;
129/1;Галоши детские (сабо) Мальчик ;12;100 ₽;110 ₽;
130;Галоши детские (сабо) Девочка с утеплителем;12;100 ₽;110 ₽;
130/1;Галоши детские (сабо) Девочка ;12;80 ₽;88 ₽;
137;Обувь мужская, Туфли купальные;12;95 ₽;116 ₽;
139;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
140;Обувь детская, Туфли купальные;12;60 ₽;66 ₽;
141;Обувь мужская, Туфли купальные;12;120 ₽;146 ₽;
142;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
144;Обувь детская, Туфли купальные;12;80 ₽;88 ₽;
145;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
149;Обувь мужская, Туфли купальные;12;170 ₽;207 ₽;
149У;Обувь мужская, Туфли купальные;8;270 ₽;329 ₽;
149К;Обувь мужская, Туфли купальные;8;320 ₽;390 ₽;
153;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
155;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
156;Обувь женская, Туфли купальные;12;90 ₽;110 ₽;
157;Обувь женская, Туфли купальные;12;95 ₽;116 ₽;
158;Обувь женская, Туфли купальные;12;95 ₽;116 ₽;
159;Обувь женская, Туфли купальные (кроксы);12;150 ₽;183 ₽;
159У;Обувь женская, Туфли купальные (кроксы);8;240 ₽;293 ₽;
159К;Обувь женская, Туфли купальные (кроксы);12;320 ₽;390 ₽;
160;Обувь детская, Туфли купальные (Кроксы);12;120 ₽;132 ₽;
161;Обувь женская, Туфли купальные;12;200 ₽;244 ₽;
163;Обувь детская, Туфли купальные;12;60 ₽;66 ₽;
164;Обувь детская, Туфли купальные;12;60 ₽;66 ₽;
165;Обувь детская, Туфли купальные;12;60 ₽;66 ₽;
169;Обувь детская, Туфли купальные;12;60 ₽;66 ₽;
170;"Галоши мужские
(сабо с надставкой)";12;165 ₽;201 ₽;
171;Галоши женские (сабо с надставкой);12;150 ₽;183 ₽;
176;Обувь женская, Туфли купальные;12;160 ₽;195 ₽;
177;Обувь мужская, Туфли купальные;12;150 ₽;183 ₽;
